"date_index","count_variable","count"
"2014-04-07","date_of_onset",1
"2014-04-15","date_of_onset",1
"2014-04-21","date_of_onset",2
"2014-04-26","date_of_onset",1
"2014-05-01","date_of_onset",2
"2014-05-03","date_of_onset",1
"2014-05-05","date_of_onset",1
"2014-05-06","date_of_onset",2
"2014-05-07","date_of_onset",2
"2014-05-08","date_of_onset",2
"2014-05-09","date_of_onset",2
"2014-05-10","date_of_onset",1
"2014-05-11","date_of_onset",1
"2014-05-12","date_of_onset",3
"2014-05-13","date_of_onset",2
"2014-05-14","date_of_onset",1
"2014-05-16","date_of_onset",2
"2014-05-17","date_of_onset",3
"2014-05-18","date_of_onset",2
"2014-05-19","date_of_onset",3
"2014-05-20","date_of_onset",1
"2014-05-21","date_of_onset",3
"2014-05-22","date_of_onset",1
"2014-05-24","date_of_onset",1
"2014-05-25","date_of_onset",2
"2014-05-26","date_of_onset",3
"2014-05-27","date_of_onset",8
"2014-05-28","date_of_onset",1
"2014-05-29","date_of_onset",1
"2014-05-30","date_of_onset",1
"2014-05-31","date_of_onset",1
"2014-06-02","date_of_onset",3
"2014-06-03","date_of_onset",1
"2014-06-05","date_of_onset",1
"2014-06-06","date_of_onset",3
"2014-06-07","date_of_onset",4
"2014-06-08","date_of_onset",1
"2014-06-09","date_of_onset",4
"2014-06-10","date_of_onset",1
"2014-06-11","date_of_onset",2
"2014-06-13","date_of_onset",1
"2014-06-14","date_of_onset",1
"2014-06-15","date_of_onset",4
"2014-06-16","date_of_onset",4
"2014-06-17","date_of_onset",2
"2014-06-18","date_of_onset",1
"2014-06-19","date_of_onset",3
"2014-06-20","date_of_onset",6
"2014-06-21","date_of_onset",2
"2014-06-22","date_of_onset",4
"2014-06-23","date_of_onset",2
"2014-06-24","date_of_onset",1
"2014-06-25","date_of_onset",3
"2014-06-26","date_of_onset",3
"2014-06-28","date_of_onset",2
"2014-06-29","date_of_onset",2
"2014-06-30","date_of_onset",5
"2014-07-01","date_of_onset",3
"2014-07-02","date_of_onset",3
"2014-07-03","date_of_onset",4
"2014-07-04","date_of_onset",6
"2014-07-05","date_of_onset",3
"2014-07-06","date_of_onset",2
"2014-07-07","date_of_onset",2
"2014-07-08","date_of_onset",5
"2014-07-09","date_of_onset",7
"2014-07-10","date_of_onset",3
"2014-07-11","date_of_onset",3
"2014-07-12","date_of_onset",4
"2014-07-13","date_of_onset",6
"2014-07-14","date_of_onset",8
"2014-07-15","date_of_onset",8
"2014-07-16","date_of_onset",4
"2014-07-17","date_of_onset",6
"2014-07-18","date_of_onset",7
"2014-07-19","date_of_onset",5
"2014-07-20","date_of_onset",10
"2014-07-21","date_of_onset",4
"2014-07-22","date_of_onset",5
"2014-07-23","date_of_onset",6
"2014-07-24","date_of_onset",8
"2014-07-25","date_of_onset",10
"2014-07-26","date_of_onset",5
"2014-07-27","date_of_onset",11
"2014-07-28","date_of_onset",5
"2014-07-29","date_of_onset",12
"2014-07-30","date_of_onset",10
"2014-07-31","date_of_onset",6
"2014-08-01","date_of_onset",6
"2014-08-02","date_of_onset",10
"2014-08-03","date_of_onset",9
"2014-08-04","date_of_onset",11
"2014-08-05","date_of_onset",14
"2014-08-06","date_of_onset",6
"2014-08-07","date_of_onset",7
"2014-08-08","date_of_onset",8
"2014-08-09","date_of_onset",8
"2014-08-10","date_of_onset",13
"2014-08-11","date_of_onset",9
"2014-08-12","date_of_onset",5
"2014-08-13","date_of_onset",13
"2014-08-14","date_of_onset",9
"2014-08-15","date_of_onset",15
"2014-08-16","date_of_onset",24
"2014-08-17","date_of_onset",8
"2014-08-18","date_of_onset",9
"2014-08-19","date_of_onset",12
"2014-08-20","date_of_onset",15
"2014-08-21","date_of_onset",11
"2014-08-22","date_of_onset",22
"2014-08-23","date_of_onset",14
"2014-08-24","date_of_onset",18
"2014-08-25","date_of_onset",15
"2014-08-26","date_of_onset",13
"2014-08-27","date_of_onset",21
"2014-08-28","date_of_onset",18
"2014-08-29","date_of_onset",20
"2014-08-30","date_of_onset",17
"2014-08-31","date_of_onset",14
"2014-09-01","date_of_onset",27
"2014-09-02","date_of_onset",17
"2014-09-03","date_of_onset",22
"2014-09-04","date_of_onset",22
"2014-09-05","date_of_onset",16
"2014-09-06","date_of_onset",27
"2014-09-07","date_of_onset",23
"2014-09-08","date_of_onset",25
"2014-09-09","date_of_onset",30
"2014-09-10","date_of_onset",15
"2014-09-11","date_of_onset",24
"2014-09-12","date_of_onset",27
"2014-09-13","date_of_onset",28
"2014-09-14","date_of_onset",31
"2014-09-15","date_of_onset",33
"2014-09-16","date_of_onset",42
"2014-09-17","date_of_onset",27
"2014-09-18","date_of_onset",25
"2014-09-19","date_of_onset",28
"2014-09-20","date_of_onset",46
"2014-09-21","date_of_onset",38
"2014-09-22","date_of_onset",24
"2014-09-23","date_of_onset",48
"2014-09-24","date_of_onset",28
"2014-09-25","date_of_onset",32
"2014-09-26","date_of_onset",26
"2014-09-27","date_of_onset",31
"2014-09-28","date_of_onset",32
"2014-09-29","date_of_onset",28
"2014-09-30","date_of_onset",31
"2014-10-01","date_of_onset",36
"2014-10-02","date_of_onset",40
"2014-10-03","date_of_onset",22
"2014-10-04","date_of_onset",36
"2014-10-05","date_of_onset",29
"2014-10-06","date_of_onset",34
"2014-10-07","date_of_onset",27
"2014-10-08","date_of_onset",36
"2014-10-09","date_of_onset",21
"2014-10-10","date_of_onset",27
"2014-10-11","date_of_onset",30
"2014-10-12","date_of_onset",27
"2014-10-13","date_of_onset",31
"2014-10-14","date_of_onset",28
"2014-10-15","date_of_onset",27
"2014-10-16","date_of_onset",25
"2014-10-17","date_of_onset",20
"2014-10-18","date_of_onset",29
"2014-10-19","date_of_onset",27
"2014-10-20","date_of_onset",27
"2014-10-21","date_of_onset",26
"2014-10-22","date_of_onset",30
"2014-10-23","date_of_onset",30
"2014-10-24","date_of_onset",33
"2014-10-25","date_of_onset",18
"2014-10-26","date_of_onset",30
"2014-10-27","date_of_onset",26
"2014-10-28","date_of_onset",29
"2014-10-29","date_of_onset",12
"2014-10-30","date_of_onset",32
"2014-10-31","date_of_onset",39
"2014-11-01","date_of_onset",31
"2014-11-02","date_of_onset",29
"2014-11-03","date_of_onset",26
"2014-11-04","date_of_onset",29
"2014-11-05","date_of_onset",23
"2014-11-06","date_of_onset",26
"2014-11-07","date_of_onset",27
"2014-11-08","date_of_onset",27
"2014-11-09","date_of_onset",18
"2014-11-10","date_of_onset",21
"2014-11-11","date_of_onset",20
"2014-11-12","date_of_onset",15
"2014-11-13","date_of_onset",19
"2014-11-14","date_of_onset",22
"2014-11-15","date_of_onset",20
"2014-11-16","date_of_onset",19
"2014-11-17","date_of_onset",15
"2014-11-18","date_of_onset",14
"2014-11-19","date_of_onset",11
"2014-11-20","date_of_onset",17
"2014-11-21","date_of_onset",20
"2014-11-22","date_of_onset",22
"2014-11-23","date_of_onset",27
"2014-11-24","date_of_onset",26
"2014-11-25","date_of_onset",22
"2014-11-26","date_of_onset",13
"2014-11-27","date_of_onset",17
"2014-11-28","date_of_onset",19
"2014-11-29","date_of_onset",15
"2014-11-30","date_of_onset",19
"2014-12-01","date_of_onset",16
"2014-12-02","date_of_onset",18
"2014-12-03","date_of_onset",10
"2014-12-04","date_of_onset",26
"2014-12-05","date_of_onset",14
"2014-12-06","date_of_onset",15
"2014-12-07","date_of_onset",17
"2014-12-08","date_of_onset",13
"2014-12-09","date_of_onset",13
"2014-12-10","date_of_onset",16
"2014-12-11","date_of_onset",15
"2014-12-12","date_of_onset",18
"2014-12-13","date_of_onset",11
"2014-12-14","date_of_onset",14
"2014-12-15","date_of_onset",14
"2014-12-16","date_of_onset",12
"2014-12-17","date_of_onset",12
"2014-12-18","date_of_onset",10
"2014-12-19","date_of_onset",13
"2014-12-20","date_of_onset",8
"2014-12-21","date_of_onset",14
"2014-12-22","date_of_onset",14
"2014-12-23","date_of_onset",13
"2014-12-24","date_of_onset",12
"2014-12-25","date_of_onset",15
"2014-12-26","date_of_onset",13
"2014-12-27","date_of_onset",13
"2014-12-28","date_of_onset",8
"2014-12-29","date_of_onset",10
"2014-12-30","date_of_onset",13
"2014-12-31","date_of_onset",7
"2015-01-01","date_of_onset",10
"2015-01-02","date_of_onset",9
"2015-01-03","date_of_onset",9
"2015-01-04","date_of_onset",9
"2015-01-05","date_of_onset",11
"2015-01-06","date_of_onset",14
"2015-01-07","date_of_onset",12
"2015-01-08","date_of_onset",7
"2015-01-09","date_of_onset",12
"2015-01-10","date_of_onset",12
"2015-01-11","date_of_onset",7
"2015-01-12","date_of_onset",12
"2015-01-13","date_of_onset",11
"2015-01-14","date_of_onset",9
"2015-01-15","date_of_onset",8
"2015-01-16","date_of_onset",14
"2015-01-17","date_of_onset",13
"2015-01-18","date_of_onset",13
"2015-01-19","date_of_onset",11
"2015-01-20","date_of_onset",7
"2015-01-21","date_of_onset",10
"2015-01-22","date_of_onset",18
"2015-01-23","date_of_onset",9
"2015-01-24","date_of_onset",12
"2015-01-25","date_of_onset",10
"2015-01-26","date_of_onset",9
"2015-01-27","date_of_onset",8
"2015-01-28","date_of_onset",10
"2015-01-29","date_of_onset",6
"2015-01-30","date_of_onset",8
"2015-01-31","date_of_onset",15
"2015-02-01","date_of_onset",7
"2015-02-02","date_of_onset",13
"2015-02-03","date_of_onset",7
"2015-02-04","date_of_onset",13
"2015-02-05","date_of_onset",6
"2015-02-06","date_of_onset",6
"2015-02-07","date_of_onset",7
"2015-02-08","date_of_onset",8
"2015-02-09","date_of_onset",8
"2015-02-10","date_of_onset",8
"2015-02-11","date_of_onset",7
"2015-02-12","date_of_onset",6
"2015-02-13","date_of_onset",4
"2015-02-14","date_of_onset",7
"2015-02-15","date_of_onset",9
"2015-02-16","date_of_onset",5
"2015-02-17","date_of_onset",6
"2015-02-18","date_of_onset",8
"2015-02-19","date_of_onset",8
"2015-02-20","date_of_onset",10
"2015-02-21","date_of_onset",14
"2015-02-22","date_of_onset",9
"2015-02-23","date_of_onset",10
"2015-02-24","date_of_onset",12
"2015-02-25","date_of_onset",4
"2015-02-26","date_of_onset",5
"2015-02-27","date_of_onset",8
"2015-02-28","date_of_onset",8
"2015-03-01","date_of_onset",9
"2015-03-02","date_of_onset",8
"2015-03-03","date_of_onset",7
"2015-03-04","date_of_onset",5
"2015-03-05","date_of_onset",9
"2015-03-06","date_of_onset",8
"2015-03-07","date_of_onset",8
"2015-03-08","date_of_onset",8
"2015-03-09","date_of_onset",10
"2015-03-10","date_of_onset",7
"2015-03-11","date_of_onset",9
"2015-03-12","date_of_onset",11
"2015-03-13","date_of_onset",10
"2015-03-14","date_of_onset",7
"2015-03-15","date_of_onset",5
"2015-03-16","date_of_onset",7
"2015-03-17","date_of_onset",4
"2015-03-18","date_of_onset",5
"2015-03-19","date_of_onset",7
"2015-03-20","date_of_onset",9
"2015-03-21","date_of_onset",5
"2015-03-22","date_of_onset",3
"2015-03-23","date_of_onset",6
"2015-03-24","date_of_onset",3
"2015-03-25","date_of_onset",7
"2015-03-26","date_of_onset",6
"2015-03-27","date_of_onset",11
"2015-03-28","date_of_onset",2
"2015-03-29","date_of_onset",3
"2015-03-30","date_of_onset",3
"2015-03-31","date_of_onset",5
"2015-04-01","date_of_onset",3
"2015-04-02","date_of_onset",7
"2015-04-03","date_of_onset",10
"2015-04-04","date_of_onset",8
"2015-04-05","date_of_onset",2
"2015-04-06","date_of_onset",6
"2015-04-07","date_of_onset",3
"2015-04-08","date_of_onset",2
"2015-04-09","date_of_onset",8
"2015-04-10","date_of_onset",3
"2015-04-11","date_of_onset",5
"2015-04-12","date_of_onset",4
"2015-04-13","date_of_onset",5
"2015-04-14","date_of_onset",9
"2015-04-15","date_of_onset",2
"2015-04-16","date_of_onset",3
"2015-04-17","date_of_onset",2
"2015-04-18","date_of_onset",7
"2015-04-19","date_of_onset",2
"2015-04-20","date_of_onset",4
"2015-04-21","date_of_onset",3
"2015-04-22","date_of_onset",7
"2015-04-23","date_of_onset",4
"2015-04-24","date_of_onset",2
"2015-04-25","date_of_onset",4
"2015-04-26","date_of_onset",4
"2015-04-27","date_of_onset",6
"2015-04-28","date_of_onset",7
"2015-04-29","date_of_onset",2
"2015-04-30","date_of_onset",2
